Changed database context to 'adventureworks'.
Salesperson                                                                                                                                                                                                                                                      CustomerName                                                Phone                    
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ----------------------------------------------------------- -------------------------
adventure-works\pamela0                                                                                                                                                                                                                                          Mr. Gee                                                     245-555-0173             
adventure-works\david8                                                                                                                                                                                                                                           Mr. Harris                                                  170-555-0127             
adventure-works\jillian0                                                                                                                                                                                                                                         Ms. Carreras                                                279-555-0130             
adventure-works\jillian0                                                                                                                                                                                                                                         Ms. Gates                                                   710-555-0173             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Harrington                                              828-555-0186             
adventure-works\linda3                                                                                                                                                                                                                                           Ms. Carroll                                                 244-555-0112             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Gash                                                    192-555-0173             
adventure-works\josé1                                                                                                                                                                                                                                            Ms. Garza                                                   150-555-0127             
adventure-works\josé1                                                                                                                                                                                                                                            Ms. Harding                                                 926-555-0159             
adventure-works\garrett1                                                                                                                                                                                                                                         Mr. Caprio                                                  112-555-0191             
adventure-works\jae0                                                                                                                                                                                                                                             Mr. Beck                                                    1 (11) 500 555-0132      
adventure-works\michael9                                                                                                                                                                                                                                         Mr. Liu                                                     440-555-0132             
adventure-works\pamela0                                                                                                                                                                                                                                          Mr. Beaver                                                  521-555-0195             
adventure-works\david8                                                                                                                                                                                                                                           Ms. Handley                                                 582-555-0113             
adventure-works\jillian0                                                                                                                                                                                                                                          Liu                                                        928-555-0116             
adventure-works\jillian0                                                                                                                                                                                                                                         Ms. Burnett                                                 121-555-0121             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Hanif                                                   216-555-0122             
adventure-works\linda3                                                                                                                                                                                                                                           Mr. Liu                                                     926-555-0164             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Blanton                                                 357-555-0161             
adventure-works\josé1                                                                                                                                                                                                                                            Ms. Blackwell                                               972-555-0163             
adventure-works\josé1                                                                                                                                                                                                                                            Mr. Hamilton                                                344-555-0144             
adventure-works\garrett1                                                                                                                                                                                                                                         Mr. Logan                                                   783-555-0110             
adventure-works\jae0                                                                                                                                                                                                                                             Ms. German                                                  1 (11) 500 555-0181      
adventure-works\pamela0                                                                                                                                                                                                                                          Mr. Geist                                                   724-555-0161             
adventure-works\david8                                                                                                                                                                                                                                           Ms. Haines                                                  867-555-0114             
adventure-works\jillian0                                                                                                                                                                                                                                         Ms. Looney                                                  377-555-0132             
adventure-works\jillian0                                                                                                                                                                                                                                         Mr. Gehring                                                 417-555-0182             
adventure-works\shu0                                                                                                                                                                                                                                             Ms. Hagens                                                  244-555-0127             
adventure-works\linda3                                                                                                                                                                                                                                           Mr. Los                                                     911-555-0165             
adventure-works\shu0                                                                                                                                                                                                                                             Ms. Leavitt                                                 482-555-0174             
adventure-works\josé1                                                                                                                                                                                                                                            Mr. Lawrence                                                653-555-0159             
adventure-works\josé1                                                                                                                                                                                                                                            Ms. Haemon                                                  141-555-0172             
adventure-works\garrett1                                                                                                                                                                                                                                         Ms. Lucerne                                                 164-555-0118             
adventure-works\jae0                                                                                                                                                                                                                                             Ms. Laszlo                                                  1 (11) 500 555-0155      
adventure-works\pamela0                                                                                                                                                                                                                                          Mr. Lang                                                    932-555-0163             
adventure-works\david8                                                                                                                                                                                                                                           Mr. Groth                                                   461-555-0118             
adventure-works\jillian0                                                                                                                                                                                                                                         Ms. Lundahl                                                 260-555-0130             
adventure-works\jillian0                                                                                                                                                                                                                                         Mr. Kurniawan                                               436-555-0160             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Groncki                                                 385-555-0140             
adventure-works\linda3                                                                                                                                                                                                                                           Mr. Lunt                                                    183-555-0111             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Kurtz                                                   452-555-0179             
adventure-works\josé1                                                                                                                                                                                                                                            Mr. Kuppa                                                   290-555-0196             
adventure-works\josé1                                                                                                                                                                                                                                            Ms. Greer                                                   737-555-0163             
adventure-works\garrett1                                                                                                                                                                                                                                         Mr. Deborde                                                 394-555-0176             
adventure-works\jae0                                                                                                                                                                                                                                             Mr. Kumar                                                   1 (11) 500 555-0122      
adventure-works\pamela0                                                                                                                                                                                                                                          Ms. Krupka                                                  107-555-0132             
adventure-works\david8                                                                                                                                                                                                                                           Mr. Bright                                                  162-555-0166             
adventure-works\jillian0                                                                                                                                                                                                                                         Ms. Delaney                                                 358-555-0188             
adventure-works\jillian0                                                                                                                                                                                                                                         Mr. Krow                                                    265-555-0190             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Brundage                                                128-555-0148             
adventure-works\linda3                                                                                                                                                                                                                                           Mr. Delmarco                                                819-555-0186             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Kennedy                                                 996-555-0192             
adventure-works\josé1                                                                                                                                                                                                                                            Mr. Kramer                                                  814-555-0130             
adventure-works\josé1                                                                                                                                                                                                                                            Mr. Brumfield                                               644-555-0114             
adventure-works\garrett1                                                                                                                                                                                                                                         Ms. Demott Jr                                               752-555-0185             
adventure-works\jae0                                                                                                                                                                                                                                             Ms. Kotc                                                    1 (11) 500 555-0173      
adventure-works\pamela0                                                                                                                                                                                                                                          Ms. Koski                                                   810-555-0198             
adventure-works\david8                                                                                                                                                                                                                                           Ms. Carmody                                                 646-555-0137             
adventure-works\jillian0                                                                                                                                                                                                                                         Mr. Desai                                                   138-555-0156             
adventure-works\jillian0                                                                                                                                                                                                                                         Mr. Konersmann                                              556-555-0192             
adventure-works\shu0                                                                                                                                                                                                                                             Ms. Carmichael                                              716-555-0167             
adventure-works\linda3                                                                                                                                                                                                                                           Ms. Lepro                                                   354-555-0130             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Kogan                                                   136-555-0134             
adventure-works\josé1                                                                                                                                                                                                                                            Mr. King                                                    979-555-0163             
adventure-works\josé1                                                                                                                                                                                                                                            Mr. Conner                                                  383-555-0111             
adventure-works\garrett1                                                                                                                                                                                                                                         Ms. Leste                                                   493-555-0134             
adventure-works\jae0                                                                                                                                                                                                                                             Ms. Thomsen                                                 1 (11) 500 555-0120      
adventure-works\pamela0                                                                                                                                                                                                                                          Mr. Thompson                                                247-555-0197             
adventure-works\david8                                                                                                                                                                                                                                           Ms. Thompson                                                464-555-0188             
adventure-works\jillian0                                                                                                                                                                                                                                         Mr. Colvin                                                  119-555-0144             
adventure-works\jillian0                                                                                                                                                                                                                                         Ms. Lewin                                                   803-555-0116             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Thompson                                                273-555-0111             
adventure-works\linda3                                                                                                                                                                                                                                           Mr. Colon                                                   397-555-0144             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Li                                                      699-555-0183             
adventure-works\josé1                                                                                                                                                                                                                                            Mr. Li                                                      316-555-0138             
adventure-works\josé1                                                                                                                                                                                                                                            Ms. Thomas                                                  667-555-0112             
adventure-works\garrett1                                                                                                                                                                                                                                         Mr. Coleman                                                 292-555-0128             
adventure-works\jae0                                                                                                                                                                                                                                             Ms. Li                                                      1 (11) 500 555-0176      
adventure-works\pamela0                                                                                                                                                                                                                                          Mr. Lique                                                   119-555-0195             
adventure-works\david8                                                                                                                                                                                                                                           Ms. Thames                                                  799-555-0118             
adventure-works\jillian0                                                                                                                                                                                                                                         Ms. Coffman                                                 426-555-0181             
adventure-works\jillian0                                                                                                                                                                                                                                         Mr. Lisboa                                                  380-555-0116             
adventure-works\shu0                                                                                                                                                                                                                                             Ms. Tench                                                   785-555-0163             
adventure-works\linda3                                                                                                                                                                                                                                           Ms. Cobb                                                    661-555-0168             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Graff                                                   132-555-0150             
adventure-works\josé1                                                                                                                                                                                                                                            Mr. Graham                                                  674-555-0187             
adventure-works\josé1                                                                                                                                                                                                                                             Barzdukas                                                  257-555-0119             
adventure-works\garrett1                                                                                                                                                                                                                                         Ms. Clayton                                                 206-555-0195             
adventure-works\jae0                                                                                                                                                                                                                                             Mr. Grande                                                  1 (11) 500 555-0114      
adventure-works\pamela0                                                                                                                                                                                                                                          Mr. Bremer                                                  962-555-0166             
adventure-works\david8                                                                                                                                                                                                                                           Mr. Bready                                                  340-555-0131             
adventure-works\jillian0                                                                                                                                                                                                                                         Ms. Clark                                                   221-555-0141             
adventure-works\jillian0                                                                                                                                                                                                                                         Mr. Brewer                                                  494-555-0134             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Brandon                                                 229-555-0114             
adventure-works\linda3                                                                                                                                                                                                                                           Ms. Christie                                                927-555-0198             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Brian                                                   163-555-0155             
adventure-works\josé1                                                                                                                                                                                                                                            Mr. Carlisle                                                193-555-0116             
adventure-works\josé1                                                                                                                                                                                                                                            Mr. Castellucio                                             180-555-0114             
adventure-works\garrett1                                                                                                                                                                                                                                         Mr. Bowman                                                  844-555-0112             
adventure-works\jae0                                                                                                                                                                                                                                             Ms. Cavendish                                               1 (11) 500 555-0178      
adventure-works\pamela0                                                                                                                                                                                                                                          Mr. Cencini                                                 644-555-0111             
adventure-works\david8                                                                                                                                                                                                                                           Ms. Dodd                                                    706-555-0140             
adventure-works\jillian0                                                                                                                                                                                                                                         Mr. Boseman                                                 383-555-0117             
adventure-works\jillian0                                                                                                                                                                                                                                         Ms. Cereghino                                               351-555-0131             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Dockter                                                 156-555-0187             
adventure-works\linda3                                                                                                                                                                                                                                           Sr. Bonifaz                                                 688-555-0113             
adventure-works\shu0                                                                                                                                                                                                                                             Ms. Diaz                                                    147-555-0192             
adventure-works\josé1                                                                                                                                                                                                                                            Ms. Dickmann                                                835-555-0116             
adventure-works\josé1                                                                                                                                                                                                                                            Mr. Dillon                                                  722-555-0169             
adventure-works\garrett1                                                                                                                                                                                                                                         Mr. Bohling                                                 838-555-0147             
adventure-works\jae0                                                                                                                                                                                                                                             Mr. Dievendorff                                             1 (11) 500 555-0193      
adventure-works\michael9                                                                                                                                                                                                                                         Ms. Chesnut                                                 264-555-0164             
adventure-works\pamela0                                                                                                                                                                                                                                          Mr. Lee                                                     396-555-0139             
adventure-works\david8                                                                                                                                                                                                                                           Mr. Alan                                                    156-555-0126             
adventure-works\jillian0                                                                                                                                                                                                                                         Mr. Cheng                                                   344-555-0181             
adventure-works\jillian0                                                                                                                                                                                                                                         Ms. Lee                                                     306-555-0166             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Kaliyath                                                495-555-0113             
adventure-works\linda3                                                                                                                                                                                                                                           Mr. Chow                                                    789-555-0184             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Campbell                                                491-555-0132             
adventure-works\josé1                                                                                                                                                                                                                                            Mr. Lee                                                     371-555-0112             
adventure-works\josé1                                                                                                                                                                                                                                            Ms. Kitt                                                    303-555-0117             
adventure-works\garrett1                                                                                                                                                                                                                                         Mr. Chen                                                    117-555-0173             
adventure-works\jae0                                                                                                                                                                                                                                             Ms. Lenehan                                                 1 (11) 500 555-0126      
adventure-works\michael9                                                                                                                                                                                                                                         Ms. Krane                                                   224-555-0126             
adventure-works\michael9                                                                                                                                                                                                                                         Mr. Benson                                                  528-555-0183             
adventure-works\pamela0                                                                                                                                                                                                                                          Mr. Lengel                                                  947-555-0143             
adventure-works\david8                                                                                                                                                                                                                                           Ms. Justice                                                 170-555-0189             
adventure-works\jillian0                                                                                                                                                                                                                                         Ms. Benson                                                  789-555-0189             
adventure-works\jillian0                                                                                                                                                                                                                                          Leonetti                                                   645-555-0193             
