Changed database context to 'adventureworks'.
CompanyName                                                                                                                      SalesPerson                                                                                                                                                                                                                                                      TotalSales           
-------------------------------------------------------------------------------------------------------------------------------- ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ---------------------
Action Bicycle Specialists                                                                                                       adventure-works\jae0                                                                                                                                                                                                                                                       119960.8240
Bulk Discount Store                                                                                                              adventure-works\jae0                                                                                                                                                                                                                                                        98138.2131
Central Bicycle Specialists                                                                                                      adventure-works\jae0                                                                                                                                                                                                                                                           43.0437
Channel Outlet                                                                                                                   adventure-works\jae0                                                                                                                                                                                                                                                          608.1766
Closest Bicycle Store                                                                                                            adventure-works\jae0                                                                                                                                                                                                                                                        39531.6085
Essential Bike Works                                                                                                             adventure-works\jae0                                                                                                                                                                                                                                                           45.1995
Instruments and Parts Company                                                                                                    adventure-works\jae0                                                                                                                                                                                                                                                        70698.9922
Metropolitan Bicycle Supply                                                                                                      adventure-works\jae0                                                                                                                                                                                                                                                       108597.9536
Nearby Cycle Shop                                                                                                                adventure-works\jae0                                                                                                                                                                                                                                                        42452.6519
Riding Cycles                                                                                                                    adventure-works\jae0                                                                                                                                                                                                                                                        86222.8072
Sports Store                                                                                                                     adventure-works\jae0                                                                                                                                                                                                                                                         2711.4098
Tachometers and Accessories                                                                                                      adventure-works\jae0                                                                                                                                                                                                                                                         2228.0566
Vigorous Sports Store                                                                                                            adventure-works\jae0                                                                                                                                                                                                                                                         1170.5376
West Side Mart                                                                                                                   adventure-works\jae0                                                                                                                                                                                                                                                           87.0851
NULL                                                                                                                             adventure-works\jae0                                                                                                                                                                                                                                                       572496.5594
Aerobic Exercise Company                                                                                                         adventure-works\linda3                                                                                                                                                                                                                                                       2361.6403
Eastside Department Store                                                                                                        adventure-works\linda3                                                                                                                                                                                                                                                      92663.5609
Extreme Riding Supplies                                                                                                          adventure-works\linda3                                                                                                                                                                                                                                                      63686.2708
Good Toys                                                                                                                        adventure-works\linda3                                                                                                                                                                                                                                                        972.7850
Professional Sales and Service                                                                                                   adventure-works\linda3                                                                                                                                                                                                                                                      43962.7901
Remarkable Bike Store                                                                                                            adventure-works\linda3                                                                                                                                                                                                                                                       7330.8972
Sports Products Store                                                                                                            adventure-works\linda3                                                                                                                                                                                                                                                       3673.3249
Thrifty Parts and Sales                                                                                                          adventure-works\linda3                                                                                                                                                                                                                                                       1261.4440
Thrilling Bike Tours                                                                                                             adventure-works\linda3                                                                                                                                                                                                                                                      15275.1977
NULL                                                                                                                             adventure-works\linda3                                                                                                                                                                                                                                                     231187.9109
Coalition Bike Company                                                                                                           adventure-works\shu0                                                                                                                                                                                                                                                         2669.3183
Discount Tours                                                                                                                   adventure-works\shu0                                                                                                                                                                                                                                                         3293.7761
