Changed database context to 'adventureworks'.
customerid  totalfreight         
----------- ---------------------
      29485              994.6333
      29531              165.8574
      29546             2220.3216
      29568               60.3918
      29584                6.1685
      29612               13.7597
      29638               53.4308
      29644               26.4828
      29653              345.5927
      29660             1440.8659
      29736             2714.0458
      29741                 .9738
      29781                2.6635
      29796             1950.7422
      29847               22.0087
      29877              317.1472
      29922              894.3803
      29929             1851.4702
      29932             1599.5247
      29938             1040.5513
      29957             2096.4607
      29975               83.1069
      29982               74.5198
      30019               50.4085
      30025                1.0226
      30027               84.9541
      30033               15.0549
      30050             2456.9673
      30072                1.9703
      30089               28.5395
      30102               61.3441
      30113              960.4672

(32 rows affected)
